ds,y,yhat,yhat_lower,yhat_upper,model,cell_id,region
2025-08-24 21:00:00,56.88509265438135,,,,observed,CELL-001,dfw
2025-08-24 22:00:00,48.117161177756955,,,,observed,CELL-001,dfw
2025-08-24 23:00:00,54.721808954062126,,,,observed,CELL-001,dfw
2025-08-25 00:00:00,47.85260067916177,,,,observed,CELL-001,dfw
2025-08-25 01:00:00,59.68986086325782,,,,observed,CELL-001,dfw
2025-08-25 02:00:00,57.03110750875239,,,,observed,CELL-001,dfw
2025-08-25 03:00:00,50.95175219155762,,,,observed,CELL-001,dfw
2025-08-25 04:00:00,60.115425954544065,,,,observed,CELL-001,dfw
2025-08-25 05:00:00,60.08685331364204,,,,observed,CELL-001,dfw
2025-08-25 06:00:00,53.62663598898899,,,,observed,CELL-001,dfw
2025-08-25 07:00:00,36.5202341964381,,,,observed,CELL-001,dfw
2025-08-25 08:00:00,58.57428495378356,,,,observed,CELL-001,dfw
2025-08-25 09:00:00,56.1853031549428,,,,observed,CELL-001,dfw
2025-08-25 10:00:00,55.41067540549343,,,,observed,CELL-001,dfw
2025-08-25 11:00:00,48.93506818791319,,,,observed,CELL-001,dfw
2025-08-25 12:00:00,57.486590325380845,,,,observed,CELL-001,dfw
2025-08-25 13:00:00,44.18153579455355,,,,observed,CELL-001,dfw
2025-08-25 14:00:00,65.04581224787057,,,,observed,CELL-001,dfw
2025-08-25 15:00:00,49.47853869533668,,,,observed,CELL-001,dfw
2025-08-25 16:00:00,63.81675522590703,,,,observed,CELL-001,dfw
2025-08-25 17:00:00,52.827533272290054,,,,observed,CELL-001,dfw
2025-08-25 18:00:00,44.69393099775217,,,,observed,CELL-001,dfw
2025-08-25 19:00:00,62.80835483556419,,,,observed,CELL-001,dfw
2025-08-25 20:00:00,47.3418340922114,,,,observed,CELL-001,dfw
2025-08-24 08:00:00,,45.88653277220243,37.039906595729754,54.29122837129818,prophet_logistic,CELL-001,dfw
2025-08-24 09:00:00,,46.89572557047508,38.34124513804858,55.946133942032716,prophet_logistic,CELL-001,dfw
2025-08-24 10:00:00,,47.8454844144407,39.40733057077332,56.49638994656637,prophet_logistic,CELL-001,dfw
2025-08-24 11:00:00,,48.7343191818006,39.75021993124667,57.42805617979249,prophet_logistic,CELL-001,dfw
2025-08-24 12:00:00,,49.56110883444673,41.31717550479477,58.445225745448596,prophet_logistic,CELL-001,dfw
2025-08-24 13:00:00,,50.32510343885378,41.81361029650432,59.515232320474986,prophet_logistic,CELL-001,dfw
2025-08-24 14:00:00,,51.02592440843811,42.44867842161031,59.950889741984255,prophet_logistic,CELL-001,dfw
2025-08-24 15:00:00,,51.663562969713404,43.08243158049073,60.09896233912641,prophet_logistic,CELL-001,dfw
2025-08-24 16:00:00,,52.23837686186854,43.69784339853069,61.25722333045716,prophet_logistic,CELL-001,dfw
2025-08-24 17:00:00,,52.75108529745159,44.40968003508486,61.134581003126485,prophet_logistic,CELL-001,dfw
2025-08-24 18:00:00,,53.20276220589342,45.105145671899585,62.0951958121226,prophet_logistic,CELL-001,dfw
2025-08-24 19:00:00,,53.594827782579095,44.86597655766733,62.48349465083313,prophet_logistic,CELL-001,dfw
2025-08-24 20:00:00,,53.929038410607006,45.9092272282556,62.48668747277457,prophet_logistic,CELL-001,dfw
2025-08-24 21:00:00,,54.20747497272152,45.952219271046886,63.04439962391963,prophet_logistic,CELL-001,dfw
2025-08-24 22:00:00,,54.43252964546928,45.41172186237113,62.59640598963656,prophet_logistic,CELL-001,dfw
2025-08-24 23:00:00,,54.60689120665838,45.98071388765976,63.35905426244407,prophet_logistic,CELL-001,dfw
2025-08-25 00:00:00,,54.73352894553999,45.62285735349351,62.744260842694516,prophet_logistic,CELL-001,dfw
2025-08-25 01:00:00,,54.81567524022231,46.48588754810432,63.359063727180555,prophet_logistic,CELL-001,dfw
2025-08-25 02:00:00,,54.856806905063934,46.168516897841066,63.52688844182525,prophet_logistic,CELL-001,dfw
2025-08-25 03:00:00,,54.86062536238953,45.47010437459189,64.48942354674914,prophet_logistic,CELL-001,dfw
2025-08-25 04:00:00,,54.831035765218125,46.21424154287246,64.38652213291364,prophet_logistic,CELL-001,dfw
2025-08-25 05:00:00,,54.772125147921265,46.11939247805286,63.912271993822685,prophet_logistic,CELL-001,dfw
2025-08-25 06:00:00,,54.688139714622324,45.97909045151151,63.81061716982434,prophet_logistic,CELL-001,dfw
2025-08-25 07:00:00,,54.58346137140798,45.67484817969773,63.45362720674128,prophet_logistic,CELL-001,dfw
2025-08-25 08:00:00,,54.4625836147172,45.74269187882896,62.75983256810052,prophet_logistic,CELL-001,dfw
2025-08-25 09:00:00,,54.33008687536855,45.98306680037006,63.45443690364209,prophet_logistic,CELL-001,dfw
2025-08-25 10:00:00,,54.19061344598849,45.16069269848051,63.317136290680814,prophet_logistic,CELL-001,dfw
2025-08-25 11:00:00,,54.048842110134444,45.41686178329029,62.464507084109414,prophet_logistic,CELL-001,dfw
2025-08-25 12:00:00,,53.9094625815961,44.644352340836136,62.6077466822845,prophet_logistic,CELL-001,dfw
2025-08-25 13:00:00,,53.77714987834618,43.86411251873464,62.81902153627552,prophet_logistic,CELL-001,dfw
2025-08-25 14:00:00,,53.65653875813396,44.72411403161775,62.44641089044394,prophet_logistic,CELL-001,dfw
2025-08-25 15:00:00,,53.552198316865685,45.198458063909186,62.135358670955306,prophet_logistic,CELL-001,dfw
2025-08-25 16:00:00,,53.46860688551387,44.71941805300979,62.36825047824463,prophet_logistic,CELL-001,dfw
2025-08-25 17:00:00,,53.41012733610649,44.30370464335053,61.57014587448619,prophet_logistic,CELL-001,dfw
2025-08-25 18:00:00,,53.380982912547594,45.166858430426394,61.6272229564898,prophet_logistic,CELL-001,dfw
2025-08-25 19:00:00,,53.38523370162305,44.36191314624206,62.77691606678652,prophet_logistic,CELL-001,dfw
2025-08-25 20:00:00,,53.426753852863754,44.457656955244495,62.16366046275682,prophet_logistic,CELL-001,dfw
2025-08-25 21:00:00,,53.50920965701038,44.400401977036495,62.275258906884005,prophet_logistic,CELL-001,dfw
2025-08-25 22:00:00,,53.63603858420238,44.83831457471479,62.40579565407056,prophet_logistic,CELL-001,dfw
2025-08-25 23:00:00,,53.810429383830616,45.17186813060691,62.76647503189016,prophet_logistic,CELL-001,dfw
2025-08-26 00:00:00,,54.03530333871546,45.780743006908054,62.203040728692194,prophet_logistic,CELL-001,dfw
2025-08-26 01:00:00,,54.313296765259686,45.540635411865075,63.227262877120694,prophet_logistic,CELL-001,dfw
2025-08-26 02:00:00,,54.646744841992934,45.67413933311121,63.13052677799168,prophet_logistic,CELL-001,dfw
2025-08-26 03:00:00,,55.03766684589259,46.60455544455357,63.8162346996681,prophet_logistic,CELL-001,dfw
2025-08-26 04:00:00,,55.487752868460774,46.09745342709477,64.19522859250351,prophet_logistic,CELL-001,dfw
2025-08-26 05:00:00,,55.998352076440774,47.20278687341161,64.58298282949801,prophet_logistic,CELL-001,dfw
2025-08-26 06:00:00,,56.570462576841926,47.87275841669825,65.16405119763088,prophet_logistic,CELL-001,dfw
2025-08-26 07:00:00,,57.204722936044405,48.932236202389554,66.25165031936513,prophet_logistic,CELL-001,dfw
2025-08-26 08:00:00,,57.90140539942197,48.88256489055524,66.5913799893402,prophet_logistic,CELL-001,dfw
2025-08-24 21:00:00,49.31070854953409,,,,observed,CELL-002,dfw
2025-08-24 22:00:00,59.23043304273886,,,,observed,CELL-002,dfw
2025-08-24 23:00:00,73.59543443426301,,,,observed,CELL-002,dfw
2025-08-25 00:00:00,54.66457058245268,,,,observed,CELL-002,dfw
2025-08-25 01:00:00,55.946399590308026,,,,observed,CELL-002,dfw
2025-08-25 02:00:00,59.52031070327742,,,,observed,CELL-002,dfw
2025-08-25 03:00:00,55.815734880585794,,,,observed,CELL-002,dfw
2025-08-25 04:00:00,66.55772187386751,,,,observed,CELL-002,dfw
2025-08-25 05:00:00,62.20281364635782,,,,observed,CELL-002,dfw
